seed,label,opp,win,draw,r0,r1,steps,n0_final,n1_final,ships0_final,ships1_final,prod0_final,prod1_final,ships_diff,time_sec,sr_30,pr_30,sr_100,pr_100,sr_200,pr_200,sr_final,pr_final
14,gar_4,sub2,1,0,1.0,-1.0,190,35,0,5449.0,0.0,83.0,0.0,5449.0,12.9,0.775,0.8888888888888888,0.931320307874482,0.92,1.0,1.0,1.0,1.0
9,gar_4,sub2,1,0,1.0,-1.0,299,36,0,6778.0,0.0,80.0,0.0,6778.0,45.5,0.48214285714285715,0.625,0.5250814332247556,0.5588235294117647,0.6236616702355461,0.625,1.0,1.0
15,gar_4,sub2,1,0,1.0,-1.0,204,28,0,5124.0,0.0,68.0,0.0,5124.0,11.4,0.7654320987654321,0.6666666666666666,0.714600146735143,0.6296296296296297,0.9983792544570502,1.0,1.0,1.0
16,gar_4,sub2,0,0,-1.0,1.0,176,0,32,0.0,3756.0,0.0,76.0,-3756.0,15.6,0.36607142857142855,0.65,0.374013357619915,0.43478260869565216,0.0,0.0,0.0,0.0
17,gar_4,sub2,0,0,-1.0,1.0,107,0,36,0.0,2267.0,0.0,76.0,-2267.0,15.8,0.5184331797235023,0.425,0.08114132857779759,0.07894736842105263,0.0,0.0,0.0,0.0
21,gar_4,sub2,0,0,-1.0,1.0,142,0,28,0.0,2671.0,0.0,76.0,-2671.0,12.3,0.528169014084507,0.5869565217391305,0.375064135454079,0.3333333333333333,0.0,0.0,0.0,0.0
19,gar_4,sub2,0,0,-1.0,1.0,196,0,32,0.0,4553.0,0.0,100.0,-4553.0,30.5,0.4693396226415094,0.5740740740740741,0.49038461538461536,0.41,0.0,0.0,0.0,0.0
22,gar_4,sub2,0,0,-1.0,1.0,176,0,31,0.0,2313.0,0.0,55.0,-2313.0,20.6,0.5098522167487685,0.52,0.32941176470588235,0.32653061224489793,0.0,0.0,0.0,0.0
20,gar_4,sub2,1,0,1.0,-1.0,223,36,0,4714.0,0.0,80.0,0.0,4714.0,30.3,0.5254237288135594,0.6428571428571429,0.5829358770535241,0.4931506849315068,0.9840774274118015,0.9875,1.0,1.0
18,gar_4,sub2,0,0,-1.0,1.0,240,0,36,0.0,2701.0,0.0,76.0,-2701.0,38.6,0.5625,0.5714285714285714,0.5955056179775281,0.5151515151515151,0.3580628541988666,0.25675675675675674,0.0,0.0
25,gar_4,sub2,1,0,1.0,-1.0,182,28,0,3522.0,0.0,52.0,0.0,3522.0,14.7,0.5204081632653061,0.7272727272727273,0.7368035190615836,0.6136363636363636,1.0,1.0,1.0,1.0
26,gar_4,sub2,0,0,-1.0,1.0,140,0,28,0.0,2607.0,0.0,60.0,-2607.0,15.8,0.5303867403314917,0.5416666666666666,0.20920043811610076,0.19298245614035087,0.0,0.0,0.0,0.0
27,gar_4,sub2,1,0,1.0,-1.0,146,32,0,5590.0,0.0,92.0,0.0,5590.0,10.7,0.5917602996254682,0.56,0.841439304072756,0.9302325581395349,1.0,1.0,1.0,1.0
24,gar_4,sub2,1,0,1.0,-1.0,168,35,0,4420.0,0.0,87.0,0.0,4420.0,24.6,0.4878048780487805,0.65625,0.6035137701804368,0.6428571428571429,1.0,1.0,1.0,1.0
23,gar_4,sub2,1,0,1.0,-1.0,233,36,0,5295.0,0.0,84.0,0.0,5295.0,36.9,0.4563758389261745,0.5333333333333333,0.5174358974358975,0.47435897435897434,0.9316022799240026,0.9285714285714286,1.0,1.0
28,gar_4,sub2,1,0,1.0,-1.0,158,32,0,3699.0,0.0,72.0,0.0,3699.0,16.6,0.4,0.6666666666666666,0.7492307692307693,0.7272727272727273,1.0,1.0,1.0,1.0
0,gar_12,sub2,0,0,-1.0,1.0,183,0,24,0.0,3121.0,0.0,84.0,-3121.0,14.6,0.582995951417004,0.5,0.5328852616418627,0.4880952380952381,0.0,0.0,0.0,0.0
