seed,label,opp,win,draw,r0,r1,steps,n0_final,n1_final,ships0_final,ships1_final,prod0_final,prod1_final,ships_diff,time_sec,sr_30,pr_30,sr_100,pr_100,sr_200,pr_200,sr_final,pr_final
23,prio_1.1,sub2,0,0,-1.0,1.0,180,0,24,0.0,1791.0,0.0,48.0,-1791.0,10.2,0.37155963302752293,0.5416666666666666,0.4321705426356589,0.4,0.0,0.0,0.0,0.0
22,prio_1.1,sub2,1,0,1.0,-1.0,181,28,0,3678.0,0.0,88.0,0.0,3678.0,18.4,0.5459459459459459,0.47368421052631576,0.5408045977011494,0.573170731707317,1.0,1.0,1.0,1.0
26,prio_1.1,sub2,0,0,-1.0,1.0,132,0,32,0.0,4328.0,0.0,120.0,-4328.0,20.2,0.5334773218142549,0.4727272727272727,0.2658311345646438,0.25,0.0,0.0,0.0,0.0
25,prio_1.1,sub2,0,0,-1.0,1.0,188,0,32,0.0,2944.0,0.0,72.0,-2944.0,21.5,0.6474358974358975,0.625,0.5231746031746032,0.4927536231884058,0.0,0.0,0.0,0.0
27,prio_1.1,sub2,1,0,1.0,-1.0,234,28,0,4545.0,0.0,48.0,0.0,4545.0,17.5,0.5847457627118644,0.8,0.7258064516129032,0.5675675675675675,0.9973421926910299,1.0,1.0,1.0
24,prio_1.1,sub2,1,0,1.0,-1.0,212,32,0,4087.0,0.0,92.0,0.0,4087.0,31.2,0.5023474178403756,0.5957446808510638,0.5554220486632623,0.5760869565217391,0.9729978521018717,0.9782608695652174,1.0,1.0
28,prio_1.1,sub2,1,0,1.0,-1.0,283,24,0,3175.0,0.0,44.0,0.0,3175.0,23.0,0.4720812182741117,0.6428571428571429,0.5369565217391304,0.5853658536585366,0.7067988668555241,0.6363636363636364,1.0,1.0
3,prio_1.2,sub2,0,0,-1.0,1.0,142,0,20,0.0,2603.0,0.0,76.0,-2603.0,9.5,0.46438746438746437,0.6071428571428571,0.36461636017755233,0.39473684210526316,0.0,0.0,0.0,0.0
0,prio_1.2,sub2,0,0,-1.0,1.0,154,0,38,0.0,3590.0,0.0,90.0,-3590.0,22.3,0.5141955835962145,0.5,0.3780313837375178,0.26136363636363635,0.0,0.0,0.0,0.0
29,prio_1.1,sub2,1,0,1.0,-1.0,201,36,0,5157.0,0.0,88.0,0.0,5157.0,29.9,0.48955223880597015,0.625,0.5532188841201717,0.5227272727272727,1.0,1.0,1.0,1.0
5,prio_1.2,sub2,1,0,1.0,-1.0,154,28,0,5181.0,0.0,80.0,0.0,5181.0,15.7,0.48314606741573035,0.5102040816326531,0.7431412894375857,0.7625,1.0,1.0,1.0,1.0
1,prio_1.2,sub2,1,0,1.0,-1.0,263,32,0,5742.0,0.0,84.0,0.0,5742.0,39.6,0.5223214285714286,0.5384615384615384,0.5511695906432749,0.5466666666666666,0.8238611713665943,0.8095238095238095,1.0,1.0
6,prio_1.2,sub2,0,0,-1.0,1.0,144,0,24,0.0,1665.0,0.0,46.0,-1665.0,13.5,0.4846938775510204,0.5,0.3473491773308958,0.24444444444444444,0.0,0.0,0.0,0.0
7,prio_1.2,sub2,1,0,1.0,-1.0,137,36,0,3927.0,0.0,76.0,0.0,3927.0,11.3,0.7364620938628159,0.8571428571428571,0.8163816381638164,0.8918918918918919,1.0,1.0,1.0,1.0
10,prio_1.2,sub2,0,0,-1.0,1.0,153,0,32,0.0,2164.0,0.0,68.0,-2164.0,17.4,0.48214285714285715,0.5238095238095238,0.46394019349164467,0.328125,0.0,0.0,0.0,0.0
2,prio_1.2,sub2,0,0,-1.0,1.0,337,0,40,0.0,1710.0,0.0,48.0,-1710.0,65.2,0.5,0.5,0.6506024096385542,0.6153846153846154,0.5191059841384282,0.4878048780487805,0.0,0.0
9,prio_1.2,sub2,0,0,-1.0,1.0,206,0,32,0.0,3304.0,0.0,76.0,-3304.0,30.6,0.5280373831775701,0.6,0.4474142940151075,0.4864864864864865,0.0027210884353741495,0.0,0.0,0.0
8,prio_1.2,sub2,1,0,1.0,-1.0,206,36,0,4826.0,0.0,92.0,0.0,4826.0,37.1,0.478494623655914,0.7142857142857143,0.5647432985006815,0.5421686746987951,0.9963619827194179,1.0,1.0,1.0
4,prio_1.2,sub2,1,0,1.0,-1.0,290,32,0,5670.0,0.0,68.0,0.0,5670.0,57.6,0.48195876288659795,0.5416666666666666,0.48564294631710364,0.5441176470588235,0.7290721649484536,0.75,1.0,1.0
11,prio_1.2,sub2,0,0,-1.0,1.0,167,0,32,0.0,2386.0,0.0,60.0,-2386.0,13.9,0.5463576158940397,0.625,0.4244604316546763,0.3333333333333333,0.0,0.0,0.0,0.0
16,prio_1.2,sub2,1,0,1.0,-1.0,128,36,0,3010.0,0.0,76.0,0.0,3010.0,12.2,0.4397905759162304,0.7407407407407407,0.8986577181208054,0.875,1.0,1.0,1.0,1.0
14,prio_1.2,sub2,0,0,-1.0,1.0,158,0,40,0.0,4120.0,0.0,100.0,-4120.0,21.4,0.5925925925925926,0.5,0.4355716878402904,0.4,0.0,0.0,0.0,0.0
15,prio_1.2,sub2,1,0,1.0,-1.0,190,36,0,7961.0,0.0,96.0,0.0,7961.0,21.8,0.5591054313099042,0.6206896551724138,0.7422186751795691,0.7708333333333334,1.0,1.0,1.0,1.0
12,prio_1.2,sub2,1,0,1.0,-1.0,189,40,0,6262.0,0.0,96.0,0.0,6262.0,31.2,0.5308880308880309,0.4888888888888889,0.6557780119423955,0.6354166666666666,1.0,1.0,1.0,1.0
13,prio_1.2,sub2,0,0,-1.0,1.0,225,0,36,0.0,4202.0,0.0,92.0,-4202.0,37.2,0.6153846153846154,0.625,0.54875061244488,0.42045454545454547,0.11656671664167916,0.11956521739130435,0.0,0.0
17,prio_1.2,sub2,1,0,1.0,-1.0,252,28,0,5901.0,0.0,76.0,0.0,5901.0,18.6,0.4043321299638989,0.4838709677419355,0.5655430711610487,0.5945945945945946,0.6963775740267548,0.7105263157894737,1.0,1.0
18,prio_1.2,sub2,1,0,1.0,-1.0,167,27,0,3374.0,0.0,67.0,0.0,3374.0,11.8,0.47634069400630913,0.6060606060606061,0.654054054054054,0.4603174603174603,1.0,1.0,1.0,1.0
20,prio_1.2,sub2,0,0,-1.0,1.0,132,0,24,0.0,4510.0,0.0,88.0,-4510.0,9.7,0.48284313725490197,0.525,0.14803272302298404,0.12643678160919541,0.0,0.0,0.0,0.0
23,prio_1.2,sub2,0,0,-1.0,1.0,147,0,20,0.0,2440.0,0.0,72.0,-2440.0,11.5,0.45114345114345117,0.46938775510204084,0.3333333333333333,0.2222222222222222,0.0,0.0,0.0,0.0
21,prio_1.2,sub2,0,0,-1.0,1.0,196,0,28,0.0,2745.0,0.0,72.0,-2745.0,24.1,0.4911242603550296,0.5,0.45664739884393063,0.44285714285714284,0.0,0.0,0.0,0.0
25,prio_1.2,sub2,1,0,1.0,-1.0,154,32,0,3846.0,0.0,80.0,0.0,3846.0,10.9,0.5454545454545454,0.8333333333333334,0.7187894073139974,0.7424242424242424,1.0,1.0,1.0,1.0
19,prio_1.2,sub2,1,0,1.0,-1.0,231,36,0,4254.0,0.0,80.0,0.0,4254.0,34.4,0.4624277456647399,0.6153846153846154,0.5178791615289766,0.5573770491803278,0.8850134151015715,0.8860759493670886,1.0,1.0
22,prio_1.2,sub2,1,0,1.0,-1.0,223,32,0,4963.0,0.0,88.0,0.0,4963.0,26.4,0.6209677419354839,0.5625,0.5987144168962351,0.5227272727272727,0.9694402420574887,1.0,1.0,1.0
24,prio_1.2,sub2,1,0,1.0,-1.0,174,39,0,4803.0,0.0,87.0,0.0,4803.0,24.8,0.5276752767527675,0.48717948717948717,0.5954762940408873,0.5357142857142857,1.0,1.0,1.0,1.0
